time,J1,J2,J3,J4,J5,J6
0.000000, 1.000000, 1.000000, 0.000000, 1.000000, -1.000000, 0.000000
0.000500, 1.003616, 1.004520, -0.003616, 0.996339, -1.003616, -0.002260
0.001000, 1.028927, 1.036159, -0.028927, 0.970711, -1.028927, -0.018079
0.001500, 1.097622, 1.122027, -0.097622, 0.901158, -1.097622, -0.061014
0.002000, 1.231376, 1.289220, -0.231376, 0.765732, -1.231376, -0.144610
0.002500, 1.451846, 1.564808, -0.451846, 0.542506, -1.451846, -0.282404
0.003000, 1.780663, 1.975829, -0.780663, 0.209579, -1.780663, -0.487914
0.003500, 2.239425, 2.549281, -1.239425, -0.254918, -2.239425, -0.774641
0.004000, 2.849692, 3.312115, -1.849692, -0.872814, -2.849692, -1.156058
0.004500, 3.632981, 4.291226, -2.632981, -1.665893, -3.632981, -1.645613
0.005000, 4.610753, 5.513442, -3.610753, -2.655888, -4.610753, -2.256721
0.005500, 5.804417, 7.005521, -4.804417, -3.864472, -5.804417, -3.002761
0.006000, 7.235314, 8.794143, -6.235314, -5.313256, -7.235314, -3.897071
0.006500, 8.924716, 10.905895, -7.924716, -7.023775, -8.924716, -4.952948
0.007000, 10.893818, 13.367273, -9.893818, -9.017491, -10.893818, -6.183637
0.007500, 13.163733, 16.204667, -12.163733, -11.315780, -13.163733, -7.602333
0.008000, 15.755484, 19.444355, -14.755484, -13.939927, -15.755484, -9.222177
0.008500, 18.689997, 23.112497, -17.689997, -16.911122, -18.689997, -11.056248
0.009000, 21.988100, 27.235125, -20.988100, -20.250451, -21.988100, -13.117562
0.009500, 25.670509, 31.838136, -24.670509, -23.978890, -25.670509, -15.419068
0.010000, 29.757829, 36.947286, -28.757829, -28.117301, -29.757829, -17.973643
0.010500, 34.270542, 42.588178, -33.270542, -32.686424, -34.270542, -20.794089
0.011000, 39.229007, 48.786258, -38.229007, -37.706869, -39.229007, -23.893129
0.011500, 44.653447, 55.566808, -43.653447, -43.199115, -44.653447, -27.283404
0.012000, 50.563949, 62.954936, -49.563949, -49.183498, -50.563949, -30.977468
0.012500, 56.980454, 70.975567, -55.980454, -55.680210, -56.980454, -34.987784
0.013000, 63.922754, 79.653442, -62.922754, -62.709288, -63.922754, -39.326721
0.013500, 71.410483, 89.013104, -70.410483, -70.290614, -71.410483, -44.006552
0.014000, 79.463115, 99.078893, -78.463115, -78.443904, -79.463115, -49.039447
0.014500, 88.099952, 109.874940, -87.099952, -87.188701, -88.099952, -54.437470
0.015000, 97.340126, 121.425157, -96.340126, -96.544377, -97.340126, -60.212579
0.015500, 107.202587, 133.753233, -106.202587, -106.530119, -107.202587, -66.376617
0.016000, 117.706100, 146.882625, -116.706100, -117.164926, -117.706100, -72.941312
0.016500, 128.869239, 160.836549, -127.869239, -128.467605, -128.869239, -79.918274
0.017000, 140.710382, 175.637978, -139.710382, -140.456762, -140.710382, -87.318989
0.017500, 153.247704, 191.309630, -152.247704, -153.150800, -153.247704, -95.154815
0.018000, 166.499172, 207.873965, -165.499172, -166.567912, -166.499172, -103.436983
0.018500, 180.482540, 225.353175, -179.482540, -180.726072, -180.482540, -112.176588
0.019000, 195.215344, 243.769180, -194.215344, -195.643035, -195.215344, -121.384590
0.019500, 210.714894, 263.143617, -209.714894, -211.336330, -210.714894, -131.071809
0.020000, 226.998273, 283.497842, -225.998273, -227.823252, -226.998273, -141.248921
0.020500, 244.082329, 304.852911, -243.082329, -245.120858, -244.082329, -151.926456
0.021000, 261.983669, 327.229587, -260.983669, -263.245965, -261.983669, -163.114793
0.021500, 280.718657, 350.648321, -279.718657, -282.215140, -280.718657, -174.824161
0.022000, 300.303406, 375.129257, -299.303406, -302.044698, -300.303406, -187.064629
0.022500, 320.753774, 400.692218, -319.753774, -322.750696, -320.753774, -199.846109
0.023000, 342.085360, 427.356701, -341.085360, -344.348927, -342.085360, -213.178350
0.023500, 364.313499, 455.141874, -363.313499, -366.854918, -364.313499, -227.070937
0.024000, 387.453256, 484.066570, -386.453256, -390.283922, -387.453256, -241.533285
0.024500, 411.519421, 514.149276, -410.519421, -414.650914, -411.519421, -256.574638
0.025000, 436.526507, 545.408133, -435.526507, -439.970588, -436.526507, -272.204067
0.025500, 462.488742, 577.860928, -461.488742, -466.257352, -462.488742, -288.430464
0.026000, 489.420069, 611.525087, -488.420069, -493.525320, -489.420069, -305.262543
0.026500, 517.334138, 646.417672, -516.334138, -521.788314, -517.334138, -322.708836
0.027000, 546.244299, 682.555374, -545.244299, -551.059853, -546.244299, -340.777687
0.027500, 576.163608, 719.954510, -575.163608, -581.353153, -576.163608, -359.477255
0.028000, 607.104809, 758.631012, -606.104809, -612.681120, -607.104809, -378.815506
0.028500, 639.080344, 798.600429, -638.080344, -645.056348, -639.080344, -398.800215
0.029000, 672.102336, 839.877920, -671.102336, -678.491115, -672.102336, -419.438960
0.029500, 706.182594, 882.478243, -705.182594, -712.997377, -706.182594, -440.739121
0.030000, 741.332608, 926.415760, -740.332608, -748.586765, -741.332608, -462.707880
0.030500, 777.563540, 971.704425, -776.563540, -785.270584, -777.563540, -485.352212
0.031000, 814.886225, 1018.357782, -813.886225, -823.059803, -814.886225, -508.678891
