time,f,y
0.000000,0.050000,0.000000
0.000500,0.059995,0.000009
0.001000,0.069990,0.000022
0.001500,0.079985,0.000038
0.002000,0.089980,0.000057
0.002500,0.099975,0.000079
0.003000,0.109970,0.000104
0.003500,0.119965,0.000132
0.004000,0.129960,0.000163
0.004500,0.139955,0.000198
0.005000,0.149950,0.000236
0.005500,0.159945,0.000276
0.006000,0.169940,0.000320
0.006500,0.179935,0.000367
0.007000,0.189930,0.000418
0.007500,0.199925,0.000471
0.008000,0.209920,0.000528
0.008500,0.219915,0.000587
0.009000,0.229910,0.000650
0.009500,0.239905,0.000716
0.010000,0.249900,0.000785
0.010500,0.259895,0.000857
0.011000,0.269890,0.000933
0.011500,0.279885,0.001011
0.012000,0.289880,0.001093
0.012500,0.299875,0.001177
0.013000,0.309870,0.001265
0.013500,0.319865,0.001356
0.014000,0.329860,0.001451
0.014500,0.339855,0.001548
0.015000,0.349850,0.001648
0.015500,0.359845,0.001752
0.016000,0.369840,0.001859
0.016500,0.379835,0.001968
0.017000,0.389830,0.002081
0.017500,0.399825,0.002197
0.018000,0.409820,0.002317
0.018500,0.419815,0.002439
0.019000,0.429810,0.002564
0.019500,0.439805,0.002693
0.020000,0.449800,0.002825
0.020500,0.459795,0.002959
0.021000,0.469790,0.003097
0.021500,0.479785,0.003238
0.022000,0.489780,0.003383
0.022500,0.499775,0.003530
0.023000,0.509770,0.003680
0.023500,0.519765,0.003834
0.024000,0.529760,0.003990
0.024500,0.539755,0.004150
0.025000,0.549750,0.004312
0.025500,0.559745,0.004478
0.026000,0.569740,0.004647
0.026500,0.579735,0.004819
0.027000,0.589730,0.004994
0.027500,0.599725,0.005172
0.028000,0.609720,0.005353
0.028500,0.619715,0.005537
0.029000,0.629710,0.005724
0.029500,0.639705,0.005915
0.030000,0.649700,0.006108
0.030500,0.659695,0.006304
0.031000,0.669690,0.006504
0.031500,0.679685,0.006706
0.032000,0.689680,0.006911
0.032500,0.699675,0.007120
0.033000,0.709670,0.007331
0.033500,0.719665,0.007545
0.034000,0.729660,0.007762
0.034500,0.739655,0.007982
0.035000,0.749650,0.008206
0.035500,0.759645,0.008432
0.036000,0.769640,0.008661
0.036500,0.779635,0.008892
0.037000,0.789630,0.009127
0.037500,0.799625,0.009365
0.038000,0.809620,0.009605
0.038500,0.819615,0.009849
0.039000,0.829610,0.010095
0.039500,0.839605,0.010344
0.040000,0.849600,0.010595
0.040500,0.859595,0.010850
0.041000,0.869590,0.011107
0.041500,0.879585,0.011367
0.042000,0.889580,0.011630
0.042500,0.899575,0.011896
0.043000,0.909570,0.012164
0.043500,0.919565,0.012435
0.044000,0.929560,0.012708
0.044500,0.939555,0.012985
0.045000,0.949550,0.013263
0.045500,0.959545,0.013545
0.046000,0.969540,0.013828
0.046500,0.979535,0.014115
0.047000,0.989530,0.014404
0.047500,0.999525,0.014695
0.048000,1.009520,0.014989
0.048500,1.019515,0.015285
0.049000,1.029510,0.015584
0.049500,1.039505,0.015885
0.050000,1.049500,0.016188
0.050500,1.059495,0.016494
0.051000,1.069490,0.016802
0.051500,1.079485,0.017112
0.052000,1.089480,0.017425
0.052500,1.099475,0.017739
0.053000,1.109470,0.018056
0.053500,1.119465,0.018374
0.054000,1.129460,0.018695
0.054500,1.139455,0.019018
0.055000,1.149450,0.019343
0.055500,1.159445,0.019670
0.056000,1.169440,0.019998
0.056500,1.179435,0.020329
0.057000,1.189430,0.020661
0.057500,1.199425,0.020995
0.058000,1.209420,0.021331
0.058500,1.219415,0.021668
0.059000,1.229410,0.022007
0.059500,1.239405,0.022347
0.060000,1.249400,0.022689
0.060500,1.259395,0.023033
0.061000,1.269390,0.023378
0.061500,1.279385,0.023724
0.062000,1.289380,0.024072
0.062500,1.299375,0.024420
0.063000,1.309370,0.024770
0.063500,1.319365,0.025121
0.064000,1.329360,0.025473
0.064500,1.339355,0.025827
0.065000,1.349350,0.026181
0.065500,1.359345,0.026535
0.066000,1.369340,0.026891
0.066500,1.379335,0.027248
0.067000,1.389330,0.027605
0.067500,1.399325,0.027962
0.068000,1.409320,0.028320
0.068500,1.419315,0.028679
0.069000,1.429310,0.029038
0.069500,1.439305,0.029397
0.070000,1.449300,0.029757
0.070500,1.459295,0.030116
0.071000,1.469290,0.030476
0.071500,1.479285,0.030836
0.072000,1.489280,0.031195
0.072500,1.499275,0.031555
0.073000,1.509270,0.031914
0.073500,1.519265,0.032273
0.074000,1.529260,0.032631
0.074500,1.539255,0.032989
0.075000,1.549250,0.033346
0.075500,1.559245,0.033702
0.076000,1.569240,0.034058
0.076500,1.579235,0.034413
0.077000,1.589230,0.034766
0.077500,1.599225,0.035119
0.078000,1.609220,0.035470
0.078500,1.619215,0.035821
0.079000,1.629210,0.036169
0.079500,1.639205,0.036516
0.080000,1.649200,0.036862
0.080500,1.659195,0.037206
0.081000,1.669190,0.037548
0.081500,1.679185,0.037888
0.082000,1.689180,0.038226
0.082500,1.699175,0.038562
0.083000,1.709170,0.038896
0.083500,1.719165,0.039227
0.084000,1.729160,0.039556
0.084500,1.739155,0.039882
0.085000,1.749150,0.040205
0.085500,1.759145,0.040526
0.086000,1.769140,0.040843
0.086500,1.779135,0.041158
0.087000,1.789130,0.041469
0.087500,1.799125,0.041777
0.088000,1.809120,0.042082
0.088500,1.819115,0.042383
0.089000,1.829110,0.042680
0.089500,1.839105,0.042973
0.090000,1.849100,0.043262
0.090500,1.859095,0.043548
0.091000,1.869090,0.043829
0.091500,1.879085,0.044105
0.092000,1.889080,0.044377
0.092500,1.899075,0.044645
0.093000,1.909070,0.044907
0.093500,1.919065,0.045165
0.094000,1.929060,0.045418
0.094500,1.939055,0.045665
0.095000,1.949050,0.045908
0.095500,1.959045,0.046144
0.096000,1.969040,0.046376
0.096500,1.979035,0.046601
0.097000,1.989030,0.046820
0.097500,1.999025,0.047034
0.098000,2.009020,0.047241
0.098500,2.019015,0.047442
0.099000,2.029010,0.047637
0.099500,2.039005,0.047825
0.100000,2.049000,0.048006
0.100500,2.058995,0.048180
0.101000,2.068990,0.048348
0.101500,2.078985,0.048508
0.102000,2.088980,0.048660
0.102500,2.098975,0.048806
0.103000,2.108970,0.048943
0.103500,2.118965,0.049073
0.104000,2.128960,0.049196
0.104500,2.138955,0.049310
0.105000,2.148950,0.049415
0.105500,2.158945,0.049513
0.106000,2.168940,0.049602
0.106500,2.178935,0.049683
0.107000,2.188930,0.049754
0.107500,2.198925,0.049817
0.108000,2.208920,0.049871
0.108500,2.218915,0.049916
0.109000,2.228910,0.049951
0.109500,2.238905,0.049977
0.110000,2.248900,0.049993
0.110500,2.258895,0.050000
0.111000,2.268890,0.049997
0.111500,2.278885,0.049983
0.112000,2.288880,0.049960
0.112500,2.298875,0.049927
0.113000,2.308870,0.049883
0.113500,2.318865,0.049828
0.114000,2.328860,0.049763
0.114500,2.338855,0.049688
0.115000,2.348850,0.049601
0.115500,2.358845,0.049504
0.116000,2.368840,0.049395
0.116500,2.378835,0.049275
0.117000,2.388830,0.049144
0.117500,2.398825,0.049001
0.118000,2.408820,0.048847
0.118500,2.418815,0.048682
0.119000,2.428810,0.048504
0.119500,2.438805,0.048315
0.120000,2.448800,0.048114
0.120500,2.458795,0.047901
0.121000,2.468790,0.047675
0.121500,2.478785,0.047438
0.122000,2.488780,0.047188
0.122500,2.498775,0.046926
0.123000,2.508770,0.046651
0.123500,2.518765,0.046364
0.124000,2.528760,0.046065
0.124500,2.538755,0.045753
0.125000,2.548750,0.045428
0.125500,2.558745,0.045090
0.126000,2.568740,0.044740
0.126500,2.578735,0.044376
0.127000,2.588730,0.044000
0.127500,2.598725,0.043611
0.128000,2.608720,0.043209
0.128500,2.618715,0.042795
0.129000,2.628710,0.042367
0.129500,2.638705,0.041926
0.130000,2.648700,0.041472
0.130500,2.658695,0.041005
0.131000,2.668690,0.040525
0.131500,2.678685,0.040032
0.132000,2.688680,0.039526
0.132500,2.698675,0.039007
0.133000,2.708670,0.038475
0.133500,2.718665,0.037930
0.134000,2.728660,0.037372
0.134500,2.738655,0.036802
0.135000,2.748650,0.036218
0.135500,2.758645,0.035622
0.136000,2.768640,0.035013
0.136500,2.778635,0.034391
0.137000,2.788630,0.033757
0.137500,2.798625,0.033110
0.138000,2.808620,0.032451
0.138500,2.818615,0.031780
0.139000,2.828610,0.031096
0.139500,2.838605,0.030400
0.140000,2.848600,0.029692
0.140500,2.858595,0.028973
0.141000,2.868590,0.028241
0.141500,2.878585,0.027498
0.142000,2.888580,0.026744
0.142500,2.898575,0.025978
0.143000,2.908570,0.025201
0.143500,2.918565,0.024413
0.144000,2.928560,0.023615
0.144500,2.938555,0.022805
0.145000,2.948550,0.021986
0.145500,2.958545,0.021156
0.146000,2.968540,0.020316
0.146500,2.978535,0.019466
0.147000,2.988530,0.018606
0.147500,2.998525,0.017738
0.148000,3.008520,0.016860
0.148500,3.018515,0.015973
0.149000,3.028510,0.015078
0.149500,3.038505,0.014174
0.150000,3.048500,0.013262
0.150500,3.058495,0.012342
0.151000,3.068490,0.011415
0.151500,3.078485,0.010480
