# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
20916.126333,16440.338013,340.057978,  0.000000,-12435.290119,  0.000000
20747.375933,16363.076149,337.044057,  0.000000,-12294.877773,  0.000000
20411.236604,16208.915515,330.535735,  0.000000,-12015.638538,  0.000000
20079.170703,16055.842458,323.101923,  0.000000,-11741.137775,  0.000000
19752.495853,15904.213255,314.795996,  0.000000,-11472.889534,  0.000000
19431.135695,15754.016009,305.654681,  0.000000,-11210.769711,  0.000000
19115.003855,15605.237206,295.716587,  0.000000,-10954.638509,  0.000000
18804.015273,15457.863450,285.022201,  0.000000,-10704.359107,  0.000000
18498.086271,15311.881471,273.613746,  0.000000,-10459.797811,  0.000000
18197.134533,15167.278127,261.535026,  0.000000,-10220.823979,  0.000000
17901.079083,15024.040397,248.831276,  0.000000,-9987.309956,  0.000000
17609.840262,14882.155385,235.549007,  0.000000,-9759.131002,  0.000000
17323.339704,14741.610316,221.735849,  0.000000,-9536.165226,  0.000000
17041.500323,14602.392536,207.440392,  0.000000,-9318.293525,  0.000000
16764.246284,14464.489510,192.712029,  0.000000,-9105.399514,  0.000000
16491.502987,14327.888821,177.600794,  0.000000,-8897.369469,  0.000000
16223.197044,14192.578171,162.157206,  0.000000,-8694.092263,  0.000000
15959.256263,14058.545376,146.432109,  0.000000,-8495.459309,  0.000000
15699.609626,13925.778369,130.476516,  0.000000,-8301.364500,  0.009573
15444.187269,13794.265195,114.341453,  0.000000,-8111.704153,  0.038112
15192.920466,13663.994015, 98.077803,  0.000000,-7926.376954,  0.094679
14945.741610,13534.953097, 81.736160,  0.000000,-7745.283906,  0.187868
14702.584191,13407.130825, 65.366678,  0.000000,-7568.328270,  0.325822
14463.382784,13280.515689, 49.018923,  0.000000,-7395.415520,  0.516109
14228.073028,13155.096290, 32.741736,  0.000000,-7226.453288,  0.765721
13996.591607,13030.861334, 16.583099,  0.000000,-7061.351317,  1.081005
13768.876236,12907.799636,  0.589994,  0.000000,-6900.021413,  1.467650
13544.865646,12785.900117,-15.191724,  0.000000,-6742.377395,  1.930621
13324.499561,12665.151800,-30.717439,  0.000000,-6588.335052,  2.474176
13107.718688,12545.543814,-45.943905,  0.000000,-6437.812097,  3.101804
12894.464697,12427.065389,-60.829355,  0.000000,-6290.728124,  3.816261
12684.680210,12309.705859,-75.333594,  0.000000,-6147.004562,  4.619515
12478.308778,12193.454657,-89.418118,  0.000000,-6006.564635,  5.512806
12275.294874,12078.301315,-103.046199,  0.000000,-5869.333324,  6.496580
12075.583873,11964.235466,-116.182965,  0.000000,-5735.237322,  7.570573
11879.122040,11851.246839,-128.795487,  0.000000,-5604.204996,  8.733784
11685.856511,11739.325262,-140.852863,  0.000000,-5476.166350,  9.984521
11495.735286,11628.460657,-152.326257,  0.000000,-5351.052990, 11.320417
11308.707209,11518.643042,-163.188982,  0.000000,-5228.798080, 12.738485
11124.721956,11409.862530,-173.416543,  0.000000,-5109.336315, 14.235119
10943.730023,11302.109327,-182.986686,  0.000000,-4992.603879, 15.806167
10765.682709,11195.373730,-191.879420,  0.000000,-4878.538416, 17.446994
10590.532109,11089.646130,-200.077074,  0.000000,-4767.078994, 19.152475
10418.231094,10984.917007,-207.564288,  0.000000,-4658.166073, 20.917083
10248.733303,10881.176932,-214.328058,  0.000000,-4551.741474, 22.734958
10081.993131,10778.416564,-220.357723,  0.000000,-4447.748345, 24.599922
9917.965712,10676.626651,-225.644973,  0.000000,-4346.131135, 26.505559
9756.606911,10575.798028,-230.183844,  0.000000,-4246.835563, 28.445273
9597.873313,10475.921618,-233.970709,  0.000000,-4149.808586, 30.412344
9441.722206,10376.988426,-237.004246,  0.000000,-4054.998373, 32.399973
9288.111575,10278.989547,-239.285422,  0.000000,-3962.354278, 34.401357
9137.000088,10181.916155,-240.817458,  0.000000,-3871.826813, 36.409725
8988.347086,10085.759512,-241.605782,  0.000000,-3783.367618, 38.418412
8842.112571,9990.510959,-241.657998,  0.000000,-3696.929441, 40.420897
8698.257196,9896.161920,-240.983815,  0.000000,-3612.466107, 42.410842
8556.742254,9802.703901,-239.595011,  0.000000,-3529.932498, 44.382176
8417.529666,9710.128487,-237.505356,  0.000000,-3449.284525, 46.329099
8280.581977,9618.427343,-234.730546,  0.000000,-3370.479106, 48.246146
8145.862336,9527.592212,-231.288134, -0.000006,-3293.474147, 50.128208
8013.334496,9437.614916,-227.197460, -0.000006,-3218.228511, 51.970581
7882.962797,9348.487353,-222.479549, -0.000006,-3144.702004, 53.768978
7754.712160,9260.201499,-217.157042, -0.000006,-3072.855349, 55.519575
7628.548076,9172.749404,-211.254105, -0.000005,-3002.650166, 57.219007
7504.436600,9086.123196,-204.796336, -0.000005,-2934.048953, 58.864417
7382.344336,9000.315073,-197.810659, -0.000005,-2867.015065, 60.453416
7262.238433,8915.317311,-190.325241, -0.000005,-2801.512692, 61.984162
7144.086574,8831.122256,-182.369380, -0.000004,-2737.506845, 63.455302
7027.856969,8747.722328,-173.973410, -0.000004,-2674.963332, 64.865987
6913.518343,8665.110018,-165.168589, -0.000004,-2613.848743, 66.215907
6801.039932,8583.277887,-155.987000, -0.000003,-2554.130433, 67.505208
6690.391470,8502.218568,-146.461440, -0.000003,-2495.776501, 68.734556
6581.543187,8421.924762,-136.625311, -0.000002,-2438.755774, 69.905068
6474.465794,8342.389240,-126.512517, -0.000002,-2383.037793, 71.018322
6369.130479,8263.604841,-116.157352, -0.000002,-2328.592795, 72.076311
6265.508902,8185.564471,-105.594394, -0.000001,-2275.391696, 73.081431
6163.573179,8108.261104,-94.858390, -0.000001,-2223.406076, 74.036469
6063.295884,8031.687779,-83.984170, -0.000006,-2172.608166, 74.944525
5964.650035,7955.837603,-73.006511, -0.000006,-2122.970830, 75.809030
5867.609089,7880.703745,-61.960068, -0.000005,-2074.467553, 76.633678
5772.146935,7806.279441,-50.879245, -0.000005,-2027.072424, 77.422410
5678.237888,7732.557991,-39.798103, -0.000004,-1980.760127, 78.179361
5585.856680,7659.532756,-28.750271, -0.000004,-1935.505922, 78.908838
5494.978454,7587.197161,-17.768845, -0.000003,-1891.285634, 79.615265
5405.578756,7515.544694, -6.886290, -0.000002,-1848.075643, 80.303151
5317.633534,7444.568903,  3.865637, -0.000002,-1805.852865, 80.977065
5231.119122,7374.263398, 14.455981, -0.000001,-1764.594747, 81.641566
5146.012243,7304.621849, 24.854667, -0.000000,-1724.279248, 82.301212
5062.289997,7235.637985, 35.032577,  0.000000,-1684.884832, 82.960476
4979.929857,3929.506837, 44.961626, -0.000005,-1646.390457, 83.623739
4898.909663,  6.395169, 54.614843, -0.000004,-1608.775558, 84.295259
4819.207614,-3891.883446, 63.966410, -0.000004,-1572.020043, 84.979135
4740.802266,-7747.400285, 72.991752, -0.000003,-1536.104277, 85.679246
4663.672521,-11545.325246, 81.667574, -0.000002,-1501.009074, 86.399279
4587.797626,-15271.171401, 89.971928, -0.000001,-1466.715687, 87.142677
4513.157166,-18910.836714, 97.884246, -0.000001,-1433.205798, 87.912594
4439.731057,-22450.656584,105.385393,  0.000000,-1400.461505, 88.711930
4367.499544,-25139.668479,112.457708, -0.000005,-1368.465318, 89.543249
4296.443189,-24916.016311,119.085020, -0.000004,-1337.200144, 90.408834
4226.542875,-24680.778111,125.252693, -0.000003,-1306.649281, 91.310607
4157.779793,-24447.696480,130.947645, -0.000002,-1276.796411, 92.250169
4090.135441,-24216.815732,136.158363, -0.000002,-1247.625586, 93.228783
4023.591619,-23988.115389,140.874912, -0.000001,-1219.121224, 94.247359
3958.130421,-23761.574861,145.088953,  0.000000,-1191.268098, 95.306478
3893.734234,-23537.173752,148.793740, -0.000005,-1164.051328, 96.406359
3830.385730,-23314.891856,151.984122, -0.000004,-1137.456378, 97.546904
3768.067865,-23094.709161,154.656530, -0.000003,-1111.469039, 98.727678
3706.763871,-22876.605841,156.808975, -0.000002,-1086.075430, 99.947932
3646.457253,-22660.562260,158.441025, -0.000001,-1061.261986,101.206617
3587.131784,-22446.558965,159.553785, -0.000000,-1037.015452,102.502403
3528.771501,-22234.576689,160.149883, -0.000005,-1013.322876,103.833675
3471.360702,-22024.596344,160.233421, -0.000004,-990.171602,105.198577
3414.883939,-21816.599026,159.809969, -0.000003,-967.549262,106.595013
3359.326016,-21610.566006,158.886503, -0.000002,-945.443772,108.020689
3304.671984,-21406.478734,157.471377, -0.000001,-923.843324,109.473127
3250.907137,-21204.318835,155.574283, -0.000006,-902.736378,110.949672
3198.017009,-21004.068107,153.206185, -0.000005,-882.111661,112.447549
3145.987369,-20805.708520,150.379291, -0.000004,-861.958155,113.963867
3094.804216,-20609.222213,147.106985, -0.000003,-842.265093,115.495641
3044.453781,-20414.591497,143.403778, -0.000001,-823.021957,117.039838
1924.502350,-20221.798848,139.285233, -0.000006,-804.218466,118.593385
-3667.584586,-20030.826906,134.767930, -0.000005,-785.844577,120.153209
-9203.172008,-19841.658477,129.869379, -0.000004,-767.890473,121.716240
-14620.452184,-19654.276529,124.607957, -0.000002,-750.346566,123.279460
-19893.276662,-19468.664192,119.002858, -0.000007,-733.203481,124.839915
-24996.831182,-19284.804752,113.074000, -0.000006,-716.452063,126.394743
-29907.479741,-19102.681656,106.841972, -0.000004,-700.083363,127.941173
-34602.866849,-18922.278506,100.327955, -0.000003,-684.088637,129.476574
-36963.248703,-18743.579059, 93.553647, -0.000007,-668.459340,130.998452
-36385.856386,-18566.567225, 86.541201, -0.000006,-653.187124,132.504497
-35794.078988,-18391.227068, 79.313138, -0.000004,-638.263831,133.992547
-35211.734400,-18217.542799, 71.892286, -0.000003,-623.681489,135.460655
-34638.862577,-18045.498781, 64.301693, -0.000007,-609.432307,136.907066
-34075.310990,-17875.079523, 56.564568, -0.000006,-595.508676,138.330237
