# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,  0.000000,  0.000000,  0.000000,  0.000000,  0.000000
 10.458063,  8.220169,  0.170029,  0.000000, -6.217645,  0.000000
 31.289814, 24.621876,  0.508580,  0.000000,-18.582729,  0.000000
 51.869121, 40.907872,  0.842370,  0.000000,-30.737987,  0.000000
 72.114324, 57.040251,  1.169189,  0.000000,-42.616375,  0.000000
 92.030158, 73.020279,  1.488138,  0.000000,-54.223389,  0.000000
111.621973, 88.849393,  1.798363,  0.000000,-65.565219,  0.000000
130.895043,104.529020,  2.099049,  0.000000,-76.647923,  0.000000
149.854553,120.060570,  2.389418,  0.000000,-87.477422,  0.000000
168.505603,135.445443,  2.668736,  0.000000,-98.059500,  0.000000
186.853214,150.685023,  2.936310,  0.000000,-108.399811,  0.000000
204.902321,165.780682,  3.191494,  0.000000,-118.503878,  0.000000
222.657780,180.733780,  3.433684,  0.000000,-128.377098,  0.000000
240.124370,195.545663,  3.662326,  0.000000,-138.024746,  0.000000
257.306790,210.217664,  3.876914,  0.000000,-147.451976,  0.000000
274.209664,224.751105,  4.076990,  0.000000,-156.663822,  0.000000
290.837538,239.147294,  4.262147,  0.000000,-165.665207,  0.000000
307.194888,253.407528,  4.432026,  0.000000,-174.460938,  0.000000
323.286115,267.533089,  4.586321,  0.000000,-183.055713,  0.000000
339.115548,281.525251,  4.724775,  0.000000,-191.454125,  0.000005
354.687446,295.385273,  4.847184,  0.000000,-199.660660,  0.000029
370.006000,309.114403,  4.953393,  0.000000,-207.679700,  0.000095
385.075331,322.713876,  5.043300,  0.000000,-215.515531,  0.000236
399.899494,336.184918,  5.116852,  0.000000,-223.172337,  0.000493
414.482478,349.528742,  5.174045,  0.000000,-230.654209,  0.000914
428.828205,362.746547,  5.214925,  0.000000,-237.965143,  0.001555
442.940538,375.839526,  5.239587,  0.000000,-245.109045,  0.002478
456.823272,388.808857,  5.248174,  0.000000,-252.089732,  0.003753
470.480143,401.655707,  5.240873,  0.000000,-258.910931,  0.005452
483.914825,414.381233,  5.217919,  0.000000,-265.576287,  0.007654
497.130934,426.986580,  5.179588,  0.000000,-272.089361,  0.010442
510.132026,439.472885,  5.126201,  0.000000,-278.453631,  0.013901
522.921599,451.841271,  5.058120,  0.000000,-284.672497,  0.018119
535.503093,464.092851,  4.975744,  0.000000,-290.749282,  0.023185
547.879895,476.228729,  4.879512,  0.000000,-296.687231,  0.029190
560.055334,488.249997,  4.769897,  0.000000,-302.489516,  0.036224
572.032687,500.157738,  4.647408,  0.000000,-308.159237,  0.044376
583.815176,511.953024,  4.512584,  0.000000,-313.699423,  0.053735
595.405972,523.636917,  4.365994,  0.000000,-319.113033,  0.064387
606.808194,535.210469,  4.208237,  0.000000,-324.402958,  0.076417
618.024908,546.674722,  4.039934,  0.000000,-329.572026,  0.089904
629.059134,558.030708,  3.861732,  0.000000,-334.622996,  0.104924
639.913841,569.279450,  3.674299,  0.000000,-339.558567,  0.121551
650.591948,580.421959,  3.478321,  0.000000,-344.381375,  0.139851
661.096330,591.459241,  3.274500,  0.000000,-349.093998,  0.159885
671.429812,602.392288,  3.063554,  0.000000,-353.698952,  0.181711
681.595175,613.222085,  2.846211,  0.000000,-358.198697,  0.205379
691.595154,623.949606,  2.623210,  0.000000,-362.595636,  0.230932
701.432441,634.575819,  2.395295,  0.000000,-366.892120,  0.258407
711.109681,645.101679,  2.163218,  0.000000,-371.090442,  0.287836
720.629479,655.528134,  1.927731,  0.000000,-375.192845,  0.319242
729.994395,665.856123,  1.689586,  0.000000,-379.201522,  0.352643
739.206951,676.086575,  1.449534,  0.000000,-383.118612,  0.388048
748.269625,686.220413,  1.208323,  0.000000,-386.946209,  0.425462
757.184855,696.258548,  0.966691,  0.000000,-390.686358,  0.464882
765.955040,706.201885,  0.725370,  0.000000,-394.341056,  0.506298
774.582539,716.051318,  0.485081,  0.000000,-397.912255,  0.549694
783.069675,725.807734,  0.246530,  0.000000,-401.401864,  0.595050
791.418731,735.472012,  0.010412,  0.000000,-404.811745,  0.642338
799.631953,745.045022, -0.222597, -0.000000,-408.143722,  0.691525
807.711552,754.527625, -0.451840, -0.000000,-411.399573,  0.742574
815.659700,763.920676, -0.676678, -0.000000,-414.581039,  0.795444
823.478538,773.225021, -0.896497, -0.000000,-417.689817,  0.850088
831.170168,782.441496, -1.110702, -0.000000,-420.727570,  0.906457
838.736660,791.570933, -1.318727, -0.000000,-423.695920,  0.964499
846.180051,800.614152, -1.520031, -0.000000,-426.596452,  1.024158
853.502342,809.571968, -1.714099, -0.000000,-429.430715,  1.085377
860.705505,818.445188, -1.900446, -0.000000,-432.200225,  1.148097
867.791476,827.234610, -2.078618, -0.000000,-434.906460,  1.212257
874.762164,835.941026, -2.248189, -0.000000,-437.550866,  1.277798
881.619443,844.565220, -2.408766, -0.000000,-440.134856,  1.344659
888.365159,853.107968, -2.559991, -0.000000,-442.659809,  1.412779
895.001126,861.570040, -2.701534, -0.000000,-445.127076,  1.482098
901.529131,869.952197, -2.833103, -0.000000,-447.537972,  1.552560
907.950929,878.255194, -2.954438, -0.000000,-449.893788,  1.624107
914.268249,886.479779, -3.065314, -0.000000,-452.195780,  1.696686
920.482790,894.626691, -3.165540, -0.000000,-454.445179,  1.770245
926.596224,902.696666, -3.254961, -0.000000,-456.643186,  1.844736
932.610197,910.690429, -3.333457, -0.000000,-458.790975,  1.920113
938.526327,918.608699, -3.400940, -0.000000,-460.889695,  1.996334
944.346205,926.452191, -3.457360, -0.000000,-462.940465,  2.073362
950.071397,934.221610, -3.502698, -0.000000,-464.944381,  2.151163
955.703444,941.917655, -3.536972, -0.000000,-466.902514,  2.229707
961.243862,949.541020, -3.560232, -0.000000,-468.815910,  2.308969
966.694140,957.092391, -3.572560, -0.000000,-470.685590,  2.388928
972.055747,964.572448, -3.574070, -0.000000,-472.512555,  2.469568
977.330123,971.981864, -3.564909, -0.000000,-474.297778,  2.550878
982.518689,979.321306, -3.545254, -0.000000,-476.042215,  2.632849
987.622840,986.591436, -3.515310, -0.000000,-477.746797,  2.715480
992.643950,992.174009, -3.475313, -0.000000,-479.412435,  2.798772
997.583369,994.141960, -3.425525, -0.000000,-481.040018,  2.882731
1002.442428,992.199216, -3.366234, -0.000000,-482.630416,  2.967369
1007.222433,986.379574, -3.297755, -0.000000,-484.184478,  3.052698
1011.924670,976.733211, -3.220425, -0.000000,-485.703035,  3.138737
1016.550405,963.324963, -3.134606, -0.000000,-487.186897,  3.225508
1021.100883,946.233959, -3.040678, -0.000000,-488.636858,  3.313036
1025.577327,925.553212, -2.939043, -0.000000,-490.053691,  3.401348
1029.980942,901.758049, -2.830121, -0.000000,-491.438155,  3.490476
1034.312914,876.730207, -2.714350, -0.000000,-492.790988,  3.580452
1038.574407,851.931810, -2.592181, -0.000000,-494.112912,  3.671311
1042.766568,827.367573, -2.464081, -0.000000,-495.404635,  3.763092
1046.890526,803.035316, -2.330528, -0.000000,-496.666846,  3.855831
1050.947389,778.932851, -2.192011, -0.000000,-497.900220,  3.949569
1054.938250,755.058006, -2.049029, -0.000000,-499.105414,  4.044346
1058.864183,731.408631, -1.902088, -0.000000,-500.283074,  4.140203
1062.726243,707.982599, -1.751699, -0.000000,-501.433828,  4.237179
1066.525469,684.777798, -1.598379, -0.000000,-502.558290,  4.335317
1070.262885,661.792141, -1.442646, -0.000000,-503.657063,  4.434654
1073.939496,639.023557, -1.285021, -0.000000,-504.730731,  4.535232
1077.556290,616.469996, -1.126023, -0.000000,-505.779870,  4.637086
1081.114242,594.129428, -0.966172, -0.000000,-506.805039,  4.740254
1084.614308,571.999842, -0.805980, -0.000000,-507.806787,  4.844770
1088.057430,550.079244, -0.645958, -0.000000,-508.785647,  4.950667
1091.444535,528.365661, -0.486610, -0.000000,-509.742143,  5.057975
1094.776534,506.857139, -0.328431, -0.000000,-510.676787,  5.166722
1098.054324,485.551740, -0.171908, -0.000000,-511.590077,  5.276933
1101.278786,464.447547, -0.017518, -0.000000,-512.482501,  5.388632
1104.450788,443.542658,  0.134275, -0.000000,-513.354536,  5.501838
1107.571184,422.835193,  0.283018, -0.000000,-514.206647,  5.616567
1110.640813,402.323286,  0.428273, -0.000000,-515.039291,  5.732835
1113.125291,382.005091,  0.569618, -0.000000,-515.852911,  5.850652
1112.253750,361.878778,  0.706644, -0.000000,-516.647943,  5.970025
1105.818372,341.942536,  0.838963, -0.000000,-517.424810,  6.090960
1093.906559,322.194568,  0.966202, -0.000000,-518.183929,  6.213458
1076.649695,302.633098,  1.088007, -0.000000,-518.925704,  6.337517
1054.204641,283.256363,  1.204045, -0.000000,-519.650532,  6.463135
1026.752486,264.062620,  1.314003, -0.000000,-520.358799,  6.590303
994.497312,245.050140,  1.417588, -0.000000,-521.050885,  6.719011
958.714255,226.217211,  1.514529, -0.000000,-521.727159,  6.849249
922.039702,207.562138,  1.604577, -0.000000,-522.387982,  6.981000
885.949734,189.083241,  1.687504, -0.000000,-523.033708,  7.114249
850.446828,170.778856,  1.763106, -0.000000,-523.664681,  7.248975
815.521529,152.647335,  1.831203, -0.000000,-524.281237,  7.385159
781.164442,134.687046,  1.891637, -0.000000,-524.883708,  7.522778
747.366323,116.896371,  1.944271, -0.000000,-525.472414,  7.661808
714.118077, 99.273709,  1.988995, -0.000000,-526.047670,  7.802223
681.410758, 81.817474,  2.025720, -0.000000,-526.609783,  7.943998
649.235565, 64.526092,  2.054382, -0.000000,-525.549862,  8.087106
617.583842, 47.398008,  2.074938, -0.000000,-520.736518,  8.231519
586.447072, 30.431679,  2.087368, -0.000000,-511.701747,  8.377210
555.816876, 13.625578,  2.091676, -0.000000,-498.575801,  8.524151
525.685014, -3.021808,  2.087887, -0.000000,-481.526007,  8.672315
496.043377,-19.511979,  2.076047, -0.000000,-460.749680,  8.821674
466.883990,-35.846419,  2.056226, -0.000000,-438.036184,  8.972202
438.199008,-52.026598,  2.028512, -0.000000,-415.452306,  9.123872
409.980711,-68.053974,  1.993012, -0.000000,-393.379901,  9.276660
382.221508,-83.929990,  1.949857, -0.000000,-371.811730,  9.430543
354.913928,-99.656075,  1.899192, -0.000000,-350.736323,  9.585497
328.050625,-115.233644,  1.841182, -0.000000,-330.142424,  9.741502
301.624370,-130.664102,  1.776010, -0.000000,-310.019032,  9.898538
275.628053,-145.948836,  1.703873, -0.000000,-290.355397, 10.056587
250.054680,-161.089223,  1.624986, -0.000000,-271.141014, 10.215634
224.897368,-176.086626,  1.539576, -0.000000,-252.365620, 10.375665
200.149349,-190.942396,  1.447886, -0.000000,-234.019186, 10.536666
175.803964,-205.657870,  1.350169, -0.000000,-216.091910, 10.698629
151.854663,-220.234374,  1.246692, -0.000000,-198.574217, 10.861545
128.295001,-234.673218,  1.137731, -0.000000,-181.456749, 11.025408
105.118639,-248.975704,  1.023572, -0.000000,-164.730361, 11.190214
 82.319342,-263.143120,  0.904510, -0.000000,-148.386120, 11.355961
 59.890974,-277.176740,  0.780847, -0.000000,-132.415294, 11.522648
 37.827501,-291.077828,  0.652891, -0.000000,-116.809351, 11.690279
 16.122986,-304.847637,  0.520955, -0.000000,-101.559955, 11.858855
 -5.228410,-318.487405,  0.385358, -0.000000,-86.658961, 12.028383
-26.232434,-331.998361,  0.246420, -0.000000,-72.098408, 12.198870
-46.894735,-345.381722,  0.104463, -0.000000,-57.870518, 12.370325
-67.220875,-358.638692, -0.040189, -0.000000,-43.967692, 12.542758
-87.216321,-371.770465, -0.187211, -0.000000,-30.382502, 12.716180
-106.886455,-384.778223, -0.336283, -0.000000,-17.107691, 12.890604
-126.236569,-397.663137, -0.487084, -0.000000, -4.136168, 13.066045
-145.271869,-410.426369, -0.639297, -0.000000,  8.538996, 13.242506
-163.997477,-423.069066, -0.792608, -0.000000, 20.924572, 13.419976
-182.418431,-435.592367, -0.946708, -0.000000, 33.027176, 13.598423
