# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000, -0.004110, -0.011809, -0.027643, -0.003109, -0.002948
  0.005229, -0.012311, -0.047048, -0.110296, -0.015509, -0.011742
  0.026103, -0.012234, -0.093406, -0.219416, -0.040169, -0.023271
  0.067682,  0.004322, -0.138614, -0.326229, -0.076847, -0.034394
  0.129674,  0.037240, -0.182460, -0.429930, -0.125266, -0.044990
  0.211746,  0.086365, -0.224831, -0.529939, -0.185161, -0.054985
  0.313572,  0.151546, -0.265619, -0.625704, -0.256267, -0.064312
  0.434831,  0.232630, -0.304722, -0.716707, -0.338330, -0.072909
  0.575206,  0.329466, -0.342045, -0.802460, -0.431098, -0.080725
  0.734386,  0.441907, -0.377501, -0.882514, -0.534328, -0.087714
  0.912065,  0.569805, -0.411007, -0.956459, -0.647780, -0.093838
  1.107943,  0.713013, -0.442488, -1.023924, -0.771220, -0.099066
  1.321723,  0.871388, -0.471877, -1.084582, -0.904421, -0.103378
  1.553114,  1.044786, -0.499114, -1.138148, -1.047160, -0.106758
  1.801830,  1.233064, -0.524145, -1.184385, -1.199218, -0.109200
  2.067588,  1.436084, -0.546924, -1.223099, -1.360382, -0.110706
  2.350112,  1.653705, -0.567414, -1.254145, -1.530445, -0.111284
  2.649128,  1.885790, -0.585582, -1.277423, -1.709204, -0.110951
  2.964368,  2.132201, -0.601406, -1.292883, -1.896458, -0.109730
  3.295569,  2.392804, -0.614869, -1.300518, -2.092016, -0.107651
  3.642471,  2.667465, -0.625962, -1.300370, -2.295686, -0.104749
  4.004817,  2.956050, -0.634683, -1.292526, -2.507284, -0.101067
  4.382358,  3.258429, -0.641038, -1.277118, -2.726628, -0.096651
  4.774845,  3.574471, -0.645038, -1.254321, -2.953541, -0.091554
  5.182036,  3.904047, -0.646705, -1.224351, -3.187851, -0.085833
  5.603692,  4.247029, -0.646062, -1.187464, -3.429388, -0.079546
  6.039576,  4.603291, -0.643145, -1.143957, -3.677987, -0.072758
  6.489458,  4.972707, -0.637990, -1.094159, -3.933487, -0.065534
  6.953110,  5.355153, -0.630644, -1.038436, -4.195731, -0.057941
  7.430307,  5.750507, -0.621158, -0.977182, -4.464564, -0.050049
  7.920830,  6.158645, -0.609589, -0.910821, -4.739835, -0.041928
