# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,-37.160999,-89.886000,-90.000000,-142.952999,-90.000000
 90.000000, 52.843111,  0.125809,  0.027643,-52.949890,  0.002948
 89.994771, 52.851312,  0.161048,  0.110296,-52.937490,  0.011742
 89.973897, 52.851234,  0.207406,  0.219416,-52.912830,  0.023271
 89.932318, 52.834679,  0.252614,  0.326229,-52.876153,  0.034394
 89.870326, 52.801761,  0.296460,  0.429930,-52.827733,  0.044990
 89.788254, 52.752635,  0.338831,  0.529939,-52.767838,  0.054985
 89.686428, 52.687455,  0.379619,  0.625704,-52.696732,  0.064312
 89.565169, 52.606371,  0.418722,  0.716707,-52.614669,  0.072909
 89.424794, 52.509535,  0.456045,  0.802460,-52.521901,  0.080725
 89.265614, 52.397094,  0.491501,  0.882514,-52.418671,  0.087714
 89.087935, 52.269196,  0.525007,  0.956459,-52.305219,  0.093838
 88.892057, 52.125988,  0.556488,  1.023924,-52.181779,  0.099066
 88.678277, 51.967613,  0.585877,  1.084582,-52.048578,  0.103378
 88.446886, 51.794215,  0.613114,  1.138148,-51.905839,  0.106758
 88.198170, 51.605936,  0.638145,  1.184385,-51.753782,  0.109200
 87.932412, 51.402917,  0.660924,  1.223099,-51.592617,  0.110706
 87.649888, 51.185296,  0.681414,  1.254145,-51.422554,  0.111284
 87.350872, 50.953211,  0.699582,  1.277423,-51.243796,  0.110951
 87.035633, 50.706800,  0.715406,  1.292883,-51.056541,  0.109731
 86.704436, 50.446197,  0.728869,  1.300518,-50.860983,  0.107655
 86.357541, 50.171536,  0.739962,  1.300370,-50.657313,  0.104761
 85.995207, 49.882950,  0.748683,  1.292526,-50.445715,  0.101091
 85.617684, 49.580572,  0.755038,  1.277118,-50.226372,  0.096693
 85.225222, 49.264530,  0.759038,  1.254321,-49.999458,  0.091622
 84.818065, 48.934954,  0.760705,  1.224351,-49.765149,  0.085934
 84.396452, 48.591971,  0.760062,  1.187464,-49.523612,  0.079690
 83.960622, 48.235709,  0.757145,  1.143957,-49.275012,  0.072956
 83.510806, 47.866293,  0.751990,  1.094159,-49.019512,  0.065798
 83.047234, 47.483847,  0.744644,  1.038436,-48.757268,  0.058285
 82.570130, 47.088494,  0.735158,  0.977182,-48.488435,  0.050486
 82.079717, 46.680356,  0.723589,  0.910821,-48.213164,  0.042474
 81.576211, 46.259554,  0.710000,  0.839802,-47.931601,  0.034320
