# Joint1, Joint2, Joint3, Joint4, Joint5, Joint6
  0.000000,-50000.000000,-33869.035319,-41851.260331,-951.846847,-432.191201
50000.000000,50000.000000,285.075329,107.772181,-951.728482,  0.911470
50000.000000,50000.000000,376.184223,337.469468,-951.493089,  3.528355
50000.000000,50000.000000,474.656371,578.724064,-951.261690,  6.890779
50000.000000,50000.000000,570.462012,813.997718,-951.035562, 10.133219
50000.000000,50000.000000,663.276763,1041.851051,-950.814600, 13.221161
50000.000000,50000.000000,752.861002,1261.016579,-950.598686, 16.133001
50000.000000,50000.000000,838.988545,1470.293056,-950.387705, 18.849187
50000.000000,50000.000000,921.446617,1668.551070,-950.181545, 21.352189
50000.000000,50000.000000,1000.036305,1854.738925,-949.980094, 23.626591
50000.000000,50000.000000,1074.572975,2027.888010,-949.783246, 25.659168
50000.000000,50000.000000,1144.886633,2187.117612,-949.590896, 27.438945
50000.000000,50000.000000,1210.822245,2331.639154,-949.402940, 28.957235
50000.000000,50000.000000,1272.239999,2460.759850,-949.219278, 30.207656
50000.000000,50000.000000,1329.015527,2573.885741,-949.039813, 31.186132
50000.000000,50000.000000,1381.040069,2670.524121,-948.864448, 31.890875
50000.000000,50000.000000,1428.220593,2750.285329,-948.693089, 32.322344
50000.000000,50000.000000,1470.479866,2812.883924,-948.525645, 32.483197
50000.000000,50000.000000,1507.756474,2858.139210,-948.362027, 32.378214
50000.000000,50000.000000,1540.004798,2885.975159,-948.202147, 32.014567
50000.000000,50000.000000,1567.194938,2896.419695,-948.045919, 31.401364
50000.000000,50000.000000,1589.312595,2889.603380,-947.893261, 30.549531
50000.000000,50000.000000,1606.358905,2865.757509,-947.744091, 29.471690
50000.000000,50000.000000,1618.350230,2825.211625,-947.598329, 28.182011
50000.000000,50000.000000,1625.317909,2768.390479,-947.455897, 26.696068
50000.000000,50000.000000,1627.307956,2695.810466,-947.316719, 25.030679
50000.000000,50000.000000,1624.380737,2608.075551,-947.180721, 23.203745
